Exp. name;Threads;Granulation;Par. Exec. Time;Seq. Exec. Time;Valid
count_if;4;5;174,66;60,7406;1
count_if;5;5;89,8096;60,9586;1
count_if;6;5;89,0764;60,9808;1
count_if;7;5;87,9947;61,9065;1
count_if;8;5;89,3477;60,4973;1
count_if;9;5;89,4314;60,7767;1
count_if;10;5;88,315;60,7081;1
count_if;11;5;87,9024;62,9836;1
count_if;12;5;89,3805;61,018;1
count_if;13;5;92,0045;61,0297;1
count_if;14;5;87,8811;59,7622;1
count_if;15;5;97,2393;60,9032;1
count_if;16;5;91,136;60,7549;1
count_if;17;5;87,9853;59,8363;1
count_if;18;5;88,7314;61,6245;1
count_if;19;5;91,376;61,5209;1
count_if;20;5;89,0981;60,7716;1
for_each;1;5;300,272;229,867;1
for_each;2;5;179,579;229,516;1
for_each;3;5;120,033;232,524;1
for_each;4;5;120,225;229,182;1
for_each;5;5;62,057;233,152;1
for_each;6;5;62,4124;230,928;1
for_each;7;5;61,998;233,673;1
for_each;8;5;62,151;231,158;1
for_each;9;5;61,6613;233,112;1
for_each;10;5;63,1054;233,865;1
for_each;11;5;61,6377;230,367;1
for_each;12;5;63,4301;229,139;1
for_each;13;5;62,071;230,398;1
for_each;14;5;63,5016;232,813;1
for_each;15;5;62,3438;232,873;1
for_each;16;5;61,9944;233,473;1
for_each;17;5;62,2778;229,934;1
for_each;18;5;62,3139;229,265;1
for_each;19;5;62,576;231,131;1
for_each;20;5;61,8916;232,831;1
accumulate;1;5;20,3367;20,686;1
accumulate;2;5;16,0635;20,0503;1
accumulate;3;5;14,3483;20,2255;1
accumulate;4;5;14,0837;20,2517;1
accumulate;5;5;11,6577;20,1141;1
accumulate;6;5;11,59;20,7123;1
accumulate;7;5;12,4849;22,2977;1
accumulate;8;5;11,6337;19,9293;1
accumulate;9;5;11,79;19,9999;1
accumulate;10;5;12,764;21,3668;1
accumulate;11;5;11,704;19,9295;1
accumulate;12;5;11,6867;20,4476;1
accumulate;13;5;11,9272;20,4874;1
accumulate;14;5;11,6309;21,27;1
accumulate;15;5;11,606;20,312;1
accumulate;16;5;11,8812;20,7804;1
accumulate;17;5;12,0564;20,4675;1
accumulate;18;5;11,6212;22,0385;1
accumulate;19;5;11,6353;21,0393;1
accumulate;20;5;11,8836;20,2493;1
sort;1;5;3323,84;2858,03;1
sort;2;5;2231,57;2766,45;1
sort;3;5;1674,12;2799,84;1
sort;4;5;1659,15;2870,82;1
sort;5;5;1112,52;2775,2;1
sort;6;5;1140,63;2757,31;1
sort;7;5;1140,66;2776,73;1
sort;8;5;1131,45;2820,14;1
sort;9;5;1121,02;2794,35;1
sort;10;5;1130,38;2824,15;1
sort;11;5;1115,82;2859,78;1
sort;12;5;1137,09;2750,98;1
sort;13;5;1130,87;2785,11;1
sort;14;5;1120,52;2869,01;1
sort;15;5;1117,48;2781,49;1
sort;16;5;1125,82;2778,48;1
sort;17;5;1122,56;2868,21;1
sort;18;5;1124,38;2778,11;1
sort;19;5;1138,02;2839,17;1
sort;20;5;1133,77;2813,04;1
inner_product;1;5;36,967;37,3391;1
inner_product;2;5;31,8039;37,514;1
inner_product;3;5;27,3301;36,8213;1
inner_product;4;5;27,0267;36,3245;1
inner_product;5;5;23,7997;37,1145;1
inner_product;6;5;23,8451;38,9767;1
inner_product;7;5;24,54;37,4523;1
inner_product;8;5;24,0686;37,1396;1
inner_product;9;5;23,9137;39,389;1
inner_product;10;5;24,0065;40,892;1
inner_product;11;5;25,1681;37,8193;1
inner_product;12;5;25,3222;37,5697;1
inner_product;13;5;23,986;37,2537;1
inner_product;14;5;23,9656;37,7354;1
inner_product;15;5;24,385;41,2747;1
inner_product;16;5;24,9545;38,5653;1
inner_product;17;5;24,0679;37,3465;1
inner_product;18;5;24,0375;37,1485;1
inner_product;19;5;24,538;41,3587;1
inner_product;20;5;23,9222;40,1974;1
adjacent_difference;1;5;66,9986;65,0212;1
adjacent_difference;2;5;48,3236;65,0858;1
adjacent_difference;3;5;46,5667;66,2979;1
adjacent_difference;4;5;47,6829;65,2692;1
adjacent_difference;5;5;45,1355;65,6686;1
adjacent_difference;6;5;44,2395;64,563;1
adjacent_difference;7;5;42,4329;65,6077;1
adjacent_difference;8;5;46,0357;64,4955;1
adjacent_difference;9;5;42,9963;66,8927;1
adjacent_difference;10;5;43,4814;64,5655;1
adjacent_difference;11;5;45,1139;65,7034;1
adjacent_difference;12;5;46,1605;66,614;1
adjacent_difference;13;5;45,3445;67,1217;1
adjacent_difference;14;5;43,6222;63,8004;1
adjacent_difference;15;5;44,7865;66,2542;1
adjacent_difference;16;5;42,9189;65,0936;1
adjacent_difference;17;5;42,273;65,5218;1
adjacent_difference;18;5;44,2953;66,2686;1
adjacent_difference;19;5;44,9897;67,8826;1
adjacent_difference;20;5;44,0085;65,6053;1
