Exp. name;Threads;Granulation;Par. Exec. Time;Seq. Exec. Time;Valid
count_if;5;4;114,021;62,1126;1
count_if;5;5;94,5448;61,1835;1
count_if;5;6;146,912;62,679;1
count_if;5;7;129,297;62,067;1
count_if;5;8;112,416;62,4597;1
count_if;5;9;100,994;60,838;1
count_if;5;10;93,0108;62,4195;1
count_if;5;11;120,111;61,716;1
count_if;5;12;111,627;61,5063;1
count_if;5;13;102,071;62,096;1
count_if;5;14;96,8415;62,1183;1
count_if;5;15;101,734;63,1422;1
count_if;5;16;109,872;62,7111;1
count_if;5;17;104,389;62,9892;1
count_if;5;18;98,1838;63,5601;1
count_if;5;19;95,5151;62,953;1
count_if;5;20;91,2831;62,9709;1
for_each;5;1;304,216;233,029;1
for_each;5;2;154,819;233,894;1
for_each;5;3;102,772;234,58;1
for_each;5;4;80,8191;236,136;1
for_each;5;5;62,4181;234,831;1
for_each;5;6;102,6;235,132;1
for_each;5;7;88,1113;234,643;1
for_each;5;8;77,1795;234,545;1
for_each;5;9;69,3144;233,721;1
for_each;5;10;63,2847;234,857;1
for_each;5;11;83,9255;234,202;1
for_each;5;12;76,9703;234,925;1
for_each;5;13;71,11;233,953;1
for_each;5;14;68,8449;234,347;1
for_each;5;15;62,5115;234,035;1
for_each;5;16;77,7834;234,785;1
for_each;5;17;72,3731;235,411;1
for_each;5;18;68,9346;234,946;1
for_each;5;19;65,2217;234,608;1
for_each;5;20;76,7756;234,199;1
accumulate;5;1;22,7053;22,39;1
accumulate;5;2;17,2298;23,1793;1
accumulate;5;3;14,9724;23,9332;1
accumulate;5;4;12,9436;22,6593;1
accumulate;5;5;12,6253;24,9338;1
accumulate;5;6;13,8541;23,0256;1
accumulate;5;7;13,192;23,4875;1
accumulate;5;8;12,5305;20,8091;1
accumulate;5;9;12,3388;21,6468;1
accumulate;5;10;14,7305;20,8877;1
accumulate;5;11;12,5607;20,1436;1
accumulate;5;12;12,3193;20,5376;1
accumulate;5;13;11,8195;21,8296;1
accumulate;5;14;11,8157;19,9727;1
accumulate;5;15;11,5113;20,3992;1
accumulate;5;16;12,0632;20,4303;1
accumulate;5;17;12,0767;21,2088;1
accumulate;5;18;12,0304;19,9531;1
accumulate;5;19;11,9446;20,2235;1
accumulate;5;20;11,6371;20,4436;1
sort;5;1;2770,02;2775,71;1
sort;5;2;1613,75;2764,68;1
sort;5;3;1350,12;2799,01;1
sort;5;4;1187,25;2754,35;1
sort;5;5;1123,36;2822,06;1
sort;5;6;1709,36;2784,42;1
sort;5;7;1625,82;2795,02;1
sort;5;8;1517,82;2804,93;1
sort;5;9;1685,43;2813,86;1
sort;5;10;1554,56;2766,5;1
sort;5;11;1935,38;2815,59;1
sort;5;12;1992,53;2830,91;1
sort;5;13;2030,05;2809,32;1
sort;5;14;1963,31;2786,88;1
sort;5;15;2106,2;2827,9;1
sort;5;16;2172,08;2806,49;1
sort;5;17;2371,07;2763,4;1
sort;5;18;2420;2793,69;1
sort;5;19;2473,05;2814,66;1
sort;5;20;2367,11;2806,17;1
inner_product;5;1;36,3843;36,2517;1
inner_product;5;2;27,9802;38,9002;1
inner_product;5;3;26,6087;37,2942;1
inner_product;5;4;24,9439;37,0818;1
inner_product;5;5;23,6301;37,2027;1
inner_product;5;6;27,1669;38,3728;1
inner_product;5;7;25,1814;37,0873;1
inner_product;5;8;24,8443;36,7567;1
inner_product;5;9;24,2159;36,8016;1
inner_product;5;10;24,4389;39,0989;1
inner_product;5;11;26,1774;38,0293;1
inner_product;5;12;25,8378;37,598;1
inner_product;5;13;24,7379;37,8157;1
inner_product;5;14;24,0012;36,9854;1
inner_product;5;15;23,8618;37,4701;1
inner_product;5;16;25,5211;39,3577;1
inner_product;5;17;24,9275;37,1861;1
inner_product;5;18;24,3839;37,1066;1
inner_product;5;19;24,1717;37,0575;1
inner_product;5;20;24,7911;38,7709;1
adjacent_difference;5;1;63,0638;61,5123;1
adjacent_difference;5;2;43,3959;62,0413;1
adjacent_difference;5;3;42,9795;61,9318;1
adjacent_difference;5;4;42,8694;62,7372;1
adjacent_difference;5;5;43,19;61,8323;1
adjacent_difference;5;6;45,1252;63,1816;1
adjacent_difference;5;7;44,0517;62,1528;1
adjacent_difference;5;8;42,3597;63,8767;1
adjacent_difference;5;9;43,1125;61,591;1
adjacent_difference;5;10;41,9081;64,6243;1
adjacent_difference;5;11;44,4356;61,4662;1
adjacent_difference;5;12;42,1457;63,218;1
adjacent_difference;5;13;42,4837;61,4805;1
adjacent_difference;5;14;42,2221;63,4177;1
adjacent_difference;5;15;42,4064;61,2328;1
adjacent_difference;5;16;43,5033;62,8277;1
adjacent_difference;5;17;42,9865;63,1824;1
adjacent_difference;5;18;42,3585;62,738;1
adjacent_difference;5;19;43,3152;62,1619;1
adjacent_difference;5;20;42,0762;64,3609;1
